"Year","Scenario","County","Pred_Lobster_Pounds","Pred_Lobster_Value"
2096,"SLR_Temp_Low","york",1624043.27867881,13603847.8513344
2097,"SLR_Temp_Low","york",1560249.47277981,13434337.7598402
2098,"SLR_Temp_Low","york",1495593.26619556,13262614.9468982
2099,"SLR_Temp_Low","york",1430074.65892607,13088679.4125082
2100,"SLR_Temp_Low","york",1363693.65097133,12912531.1566702
2020,"SLR_Temp_Moderate","york",3937646.31857808,19987871.8580157
2021,"SLR_Temp_Moderate","york",3942290.52593367,19993001.8465747
2022,"SLR_Temp_Moderate","york",3945758.73235482,19995114.4877047
2023,"SLR_Temp_Moderate","york",3948050.93784155,19994209.7814058
2024,"SLR_Temp_Moderate","york",3949167.14239385,19990287.7276778
2025,"SLR_Temp_Moderate","york",3949107.34601172,19983348.3265209
2026,"SLR_Temp_Moderate","york",3947871.54869516,19973391.5779349
2027,"SLR_Temp_Moderate","york",3945459.75044416,19960417.48192
2028,"SLR_Temp_Moderate","york",3941871.95125874,19944426.038476
2029,"SLR_Temp_Moderate","york",3937108.15113889,19925417.2476031
2030,"SLR_Temp_Moderate","york",3931168.35008461,19903391.1093012
2031,"SLR_Temp_Moderate","york",3924052.5480959,19878347.6235703
2032,"SLR_Temp_Moderate","york",3915760.74517275,19850286.7904105
2033,"SLR_Temp_Moderate","york",3906292.94131518,19819208.6098216
2034,"SLR_Temp_Moderate","york",3895649.13652318,19785113.0818037
2035,"SLR_Temp_Moderate","york",3883829.33079674,19748000.2063569
2036,"SLR_Temp_Moderate","york",3870833.52413588,19707869.983481
2037,"SLR_Temp_Moderate","york",3856661.71654058,19664722.4131762
2038,"SLR_Temp_Moderate","york",3841313.90801087,19618557.4954424
2039,"SLR_Temp_Moderate","york",3824790.09854671,19569375.2302796
2040,"SLR_Temp_Moderate","york",3807090.28814812,19517175.6176878
2041,"SLR_Temp_Moderate","york",3788214.47681511,19461958.657667
2042,"SLR_Temp_Moderate","york",3768162.66454767,19403724.3502172
2043,"SLR_Temp_Moderate","york",3746934.85134579,19342472.6953384
2044,"SLR_Temp_Moderate","york",3724531.03720948,19278203.6930307
2045,"SLR_Temp_Moderate","york",3700951.22213875,19210917.3432939
2046,"SLR_Temp_Moderate","york",3676195.40613359,19140613.6461282
2047,"SLR_Temp_Moderate","york",3650263.58919399,19067292.6015335
2048,"SLR_Temp_Moderate","york",3623155.77131997,18990954.2095098
2049,"SLR_Temp_Moderate","york",3594871.95251151,18911598.4700571
2050,"SLR_Temp_Moderate","york",3565412.13276862,18829225.3831754
2051,"SLR_Temp_Moderate","york",3534776.31209131,18743834.9488647
2052,"SLR_Temp_Moderate","york",3502964.49047957,18655427.167125
2053,"SLR_Temp_Moderate","york",3469976.66793339,18564002.0379563
2054,"SLR_Temp_Moderate","york",3435812.84445278,18469559.5613587
2055,"SLR_Temp_Moderate","york",3400473.02003775,18372099.7373321
2056,"SLR_Temp_Moderate","york",3363957.19468828,18271622.5658764
2057,"SLR_Temp_Moderate","york",3326265.36840438,18168128.0469918
2058,"SLR_Temp_Moderate","york",3287397.54118606,18061616.1806782
2059,"SLR_Temp_Moderate","york",3247353.7130333,17952086.9669356
2060,"SLR_Temp_Moderate","york",3206133.88394611,17839540.405764
2061,"SLR_Temp_Moderate","york",3163738.0539245,17723976.4971634
2062,"SLR_Temp_Moderate","york",3120166.22296845,17605395.2411338
2063,"SLR_Temp_Moderate","york",3075418.39107797,17483796.6376753
2064,"SLR_Temp_Moderate","york",3029494.55825306,17359180.6867877
2065,"SLR_Temp_Moderate","york",2982394.72449373,17231547.3884712
2066,"SLR_Temp_Moderate","york",2934118.88979996,17100896.7427257
2067,"SLR_Temp_Moderate","york",2884667.05417176,16967228.7495512
2068,"SLR_Temp_Moderate","york",2834039.21760913,16830543.4089477
2069,"SLR_Temp_Moderate","york",2782235.38011207,16690840.7209152
2070,"SLR_Temp_Moderate","york",2729255.54168058,16548120.6854537
2071,"SLR_Temp_Moderate","york",2675099.70231466,16402383.3025632
2072,"SLR_Temp_Moderate","york",2619767.86201431,16253628.5722437
2073,"SLR_Temp_Moderate","york",2563260.02077954,16101856.4944953
2074,"SLR_Temp_Moderate","york",2505576.17861033,15947067.0693178
