"Date","Time (GMT)","Highest","MHHW (ft)","MHW (ft)","MSL (ft)","MTL (ft)","MLW (ft)","MLLW (ft)","Lowest (ft)","Inf"
"1964/03/01","00:00","10.747","NaN","9.136","4.605","4.556","-0.024","NaN","-1.753","0"
"1964/04/01","00:00","10.747","NaN","8.896","4.375","4.336","-0.224","NaN","-2.354","0"
"1964/05/01","00:00","11.445","NaN","9.116","4.677","4.644","0.176","NaN","-2.055","0"
"1964/06/01","00:00","11.646","NaN","9.254","4.736","4.697","0.127","NaN","-2.154","0"
"1964/07/01","00:00","11.445","NaN","9.224","4.707","4.677","0.117","NaN","-1.753","0"
"1964/08/01","00:00","11.245","NaN","9.336","4.756","4.736","0.127","NaN","-1.553","0"
"1964/09/01","00:00","11.245","NaN","9.365","4.766","4.697","0.025","NaN","-1.153","0"
"1964/10/01","00:00","10.845","NaN","9.375","4.766","4.756","0.136","NaN","-1.353","0"
"1964/11/01","00:00","11.944","NaN","9.326","4.887","4.815","0.307","NaN","-1.953","0"
"1964/12/01","00:00","11.744","NaN","9.155","4.677","4.605","0.054","NaN","-2.656","0"
"1965/01/01","00:00","11.744","NaN","9.034","4.664","4.625","0.205","NaN","-2.656","0"
"1965/02/01","00:00","11.045","NaN","9.067","4.677","4.605","0.146","NaN","-2.354","0"
"1965/03/01","00:00","10.645","NaN","8.975","4.605","4.526","0.074","NaN","-1.553","0"
"1965/04/01","00:00","10.645","NaN","9.146","4.726","4.687","0.225","NaN","-1.055","0"
"1965/05/01","00:00","11.147","NaN","9.224","4.746","4.716","0.205","NaN","-1.455","0"
"1965/06/01","00:00","11.445","NaN","9.287","4.815","4.736","0.195","NaN","-1.655","0"
"1965/07/01","00:00","11.744","NaN","9.346","4.707","4.716","0.084","NaN","-2.055","0"
"1965/08/01","00:00","11.445","NaN","9.205","4.615","4.595","-0.014","NaN","-1.753","0"
"1965/09/01","00:00","11.245","NaN","9.136","4.707","4.644","0.166","NaN","-1.353","0"
"1965/10/01","00:00","11.245","NaN","9.155","4.815","4.766","0.386","NaN","-1.055","0"
"1965/11/01","00:00","11.147","NaN","9.205","4.854","4.825","0.435","NaN","-1.055","0"
"1965/12/01","00:00","10.747","NaN","8.965","4.664","4.644","0.317","NaN","-1.655","0"
"1966/01/01","00:00","11.944","NaN","9.326","4.956","4.946","0.566","NaN","-1.455","0"
"1966/02/01","00:00","11.744","NaN","9.316","4.707","4.726","0.136","NaN","-2.255","0"
"1966/03/01","00:00","12.046","NaN","9.287","4.795","4.805","0.317","NaN","-2.055","0"
"1966/04/01","00:00","11.245","NaN","9.165","4.697","4.664","0.166","NaN","-1.855","0"
"1966/05/01","00:00","11.045","NaN","9.306","4.805","4.766","0.225","NaN","-1.855","0"
"1966/06/01","00:00","10.747","NaN","9.326","4.795","4.795","0.264","NaN","-1.255","0"
